Roll_Number,fullName,Gender,BirthDate,age,MBA CGPA,garduation college,University,Degree,Specialization,percentage marks obtained during graduation,year when graduation was completed,name of the school attended for class 12,education board for class 12,academic stream chosen in class 12,percentage marks scored in class 12,year when class 12 was completed,name of the school attended for class 10,education board for class 10,percentage marks scored in class 10,year when class 10 was completed,did the student have any gaps in academic career,duration of academic gap in months,does the student have any prior work experience,total work experience of the student in months,name of the first organization worked at,duration of work experience at first organization in months,industry of the first organization,domain or function at first organization,job title or designation at first organization,name of the second organization worked at,duration of work experience at second organization in months,industry of the second organization,domain or function at second organization,job title or designation at second organization,name of the third organization worked at,duration of work experience at third organization in months,industry of the third organization,domain or function at third organization,job title or designation at third organization,"Languages the student can speak, understand, or is proficient in",Desired job role or long-term career goal of the student,First area of academic or professional specialization of the student,Second area of academic or professional specialization of the student,Name of the organization where the student completed their summer internship,Role or profile undertaken by the student during their summer internship,projects or research work done during mba,technical skills of the student,interpersonal or soft skills of the student
39,Prachi Shetty,Female,4/21/2002,23,6.93,Gargi College,University Of Delhi,B.A. (Hons.),Political Science,69.16,2021,Amity International School,CBSE,Arts/ Humanities,92.6,2018,Alwar Public School,CBSE,76,2016,Yes,1 months,Yes,22 months,Capline Services,23 months,Consultancy,Accounts,Audit Analyst,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Intelligence Developer,Big Data Analytics,Marketing,Adani Ports & SEZ Ltd.,Project management trainee,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
40,Yash Goswami,Male,8/21/2000,22,7.94,Rajdhani College,University Of Delhi,B.Com. (Hons.),Commerce,81.13,2021,Silver Bells Public School,CBSE,Commerce,87.5,2018,"Modern Public School, Shalimar Bagh",CBSE,72.2,2016,Yes,4 months,No,22 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,International Business,Marketing,Anexas Pharmaceuticals,Equity Research Intern,"1. Market Research
2. Industry Analysis
3. Competitive Intelligence","1. Research Tools
2. Statistical Software
3. Data Analysis","1. Research Methods
2. Analytical Thinking
3. Report Writing"
41,Nitin Patel,Male,5/14/2002,22,6.82,"Babu J.S.G.P. Mahavidyalaya, Chhachhirai,Sumerpur,Unnao",Lucknow University,B.Com.,Chemical Engineering,76.19,2022,Shri Ji Baba Saraswati Vidya Mandir,CBSE,Commerce,70.33,2019,The Gurukul Sector-20 Panchkula Haryana,CBSE,81.7,2017,Yes,2 months,No,36 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Strategy Analyst,International Business,Finance,Anexas Pharmaceuticals,Business Development Trainee,"1. Process Improvement
2. Business Requirements
3. System Analysis","1. SQL
2. Tableau
3. Advanced Excel","1. Business Acumen
2. Stakeholder Management
3. Analytical Thinking"
42,Jitendra Sodhi,Male,3/17/1994,30,7.47,Shri Ram Murti Smarak College Of Engineering And Technology,Dr. A.P.J. Abdul Kalam Technical University,B.Tech,Electrical Engineering,68.38,2017,Nishi Memorial School,CBSE,Science (Non-Medical),81.6,2014,"B.N.S. English School Naria, Lanka BHU, Varanasi",CBSE,83.6,2011,Yes,4 months,Yes,8 months,Varroc Polymer Private Ltd. Narasapura Industrial Area Kolar,20 months,Manufacturing,Human Resource,Assistant Systems Engineer,MS Shivalec Engineering CO Gail India Ltd,13 months,Retail,Audit and Assurance,Quality Engineer,No Organisation,0 months,None,None,None,"English, Hindi, Urdu",Business Intelligence Developer,Big Data Analytics,Finance,Relaxo Footwears Ltd.,Team Lead Sales,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
43,Ashwin Garg,Male,3/26/2001,22,7.02,Atma Ram Sanatan Dharma College,Mangalore University,B.E.,Physics,72.27,2023,Chaitanya School,CBSE,Science (Non-Medical),70.33,2020,Bhavan Vidyalaya,CBSE,72.2,2018,No,2 months,No,11 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Finance Manager,Finance,Marketing,TARC Limited,Business development intern,"1. Business Transformation
2. Strategy Development
3. Process Optimization","1. Strategic Analysis Tools
2. Advanced Excel
3. Project Management Software","1. Problem Solving
2. Strategic Thinking
3. Client Management"
44,Kabir Rana,Male,3/15/2002,22,5.41,Dr. M G R Educational And Research Institute,Mohan Lal Shukhadia University,B.B.A.,Marketing,68.81,2022,Bal Vidya Mandir,CBSE,Science (Medical),72.83,2019,Bal Vidya Mandir,CBSE,76,2017,Yes,12 months,No,6 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Marwadi, Odia",Brand Manager,Finance,Marketing,Oxane Partners,Finance Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
45,Rahul Sandhu,Male,10/15/1999,26,7.6,Iec College Of Engineering And Technology,Maulana Abul Kalam Azad University Of Technology,B.Tech,Electrical Engineering,79.1,2020,Presidency The International School,CBSE,Science (Non-Medical),79.33,2016,PRESIDENCY THE INTERNATIONAL SCHOOL,CBSE,79.8,2014,No,9 months,Yes,30 months,Samsung Display Noida Private Limited,26 months,Manufacturing,Consultancy,Systems Engineer,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,Finance,Marketing,Axis Bank,Strategy Intern,"1. Business Transformation
2. Strategy Development
3. Process Optimization","1. Strategic Analysis Tools
2. Advanced Excel
3. Project Management Software","1. Statistical Thinking
2. Problem Solving
3. Technical Communication"
46,Harish Malhotra,Male,4/30/1999,22,7.51,N.L Dalmia College,Mumbai University,B.Sc.,"Statistics, Mathematics, Information Technology",84.05,2021,Jinvani Bharti Public School,Uttar Pradesh State Board of High School and Intermediate Education,Science (Non-Medical),81.16,2018,MDH International School,CBSE,87.17,2016,Yes,3 months,Yes,21 months,Tata Consultancy Services,12 months,Food Retail,Accounting,Management Trainee,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",People Analytics Manager,Marketing,Finance,Adani Ports & SEZ Ltd.,Asst Category Manager,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
47,Harish Aggarwal,Male,5/18/1998,22,7.64,Rukmini Devi Institute Of Advanced Studies,Guru Gobind Singh Indraprastha University,B.Tech,Mechanical And Automation Engineering,75.62,2023,Bal Bharati Public School,CBSE,Science (Medical),85.8,2019,USPC Jain Public School,CBSE,87.17,2017,No,11 months,No,24 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Operations Analyst,Finance,Marketing,HDFC Bank,Finance Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
48,Rishi Chahal,Male,8/27/2001,25,6.85,Vivekananda Institute Of Professional Studies,Guru Gobind Singh Indraprastha University,B.B.A.,General,76.2,2019,Haryana Council Of Open Schooling,CBSE,Science (Non-Medical),74.6,2016,K.R.Mangalam World School,CBSE,91.2,2014,No,1 months,Yes,23 months,Infosys Limited,23 months,Market Research,Engineering Research,Management Trainee,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Analyst,Big Data Analytics,Marketing,Capgemini,Summer Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
49,Deepak Yadav,Male,4/14/2001,24,5.83,Jain Group Of Institutions,Dr. Bhimrao Ambedkar University,B.B.A.,General,81.8,2020,Ryan International School,CBSE,Science (Medical),74,2016,"Darbari Lal D.A.V Model School, Pitampura",CBSE,74.1,2014,Yes,6 months,Yes,32 months,Sayveg,11 months,Aerospace and Defence,Audit and Assurance,Account Executive,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Strategy Analyst,Big Data Analytics,Finance,Maruti Suzuki India Ltd.,Summer Intern- IT,"1. BI Solutions
2. Dashboard Development
3. Data Warehouse Design","1. SQL
2. Power BI
3. ETL Tools","1. Data Visualization
2. Business Understanding
3. Technical Problem Solving"
50,Yash Pillai,Male,7/23/2000,21,6.52,Institute Of Management And Entrepreneurship Development,Bharati Vidyapeeth (Deemed To Be University),B.B.A.,Finance,77.75,2023,Delhi Public School,CBSE,Commerce,66.4,2019,"Delhi Public School, Agra",CBSE,68.4,2017,No,9 months,No,13 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Management Consultant,Finance,Marketing,Icici Bank,Business Development Intern,"1. Valuation Analysis
2. M&A Analysis
3. Financial Modeling","1. Financial Modeling
2. Bloomberg Terminal
3. Investment Analysis Tools","1. Financial Analysis
2. Valuation Skills
3. Deal Analysis"
51,Nandini Chaudhary,Female,9/25/2002,23,8.39,Dav College,University Of Delhi,B.Com. (Hons.),General,79.45,2021,St. Michael Senior Secondary School,CBSE,Commerce,91.8,2018,Pragati Public School,CBSE,87.4,2016,Yes,7 months,No,34 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,Finance,Marketing,Indian Oil Corporation Limited,Marketing- social media,"1. Predictive Modeling
2. Machine Learning
3. Data Analytics","1. Python
2. SQL
3. Machine Learning Libraries","1. Statistical Thinking
2. Problem Solving
3. Technical Communication"
52,Rajat Krishna,Male,9/21/1999,24,7.75,Kristu Jayanti College Of Law,Calcutta University,B.Com. (Hons.),Accountancy,75.23,2020,Carmel School,ISC,Commerce,77.83,2017,Darbari lal foundation(DLF) public school,ICSE,82.83,2015,Yes,7 months,No,18 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Analyst,Finance,Finance,IFFCO,Credit Analyst,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
53,Suraj Mishra,Male,7/14/1998,29,6.16,Institute Of Technical Education & Research,Calicut University,B.Tech,Mechanical Engineering,63.9,2016,Vidya Bharti Chinmaya Vidyalaya,CBSE,Science (Non-Medical),87,2010,R K C Vidya Vihar,ICSE,85.5,2008,No,0 months,Yes,6 months,Mohindera Furnishings,13 months,building and construction,Theatre,Relationship Manager,Easy Source HR Solutions Pvt. Ltd. (Solar Energy Corporation of India),7 months,Information Technology,Market Research,IT Support Engineer,No Organisation,0 months,None,None,None,"English, Hindi, Sanskrit",Business Analyst,Marketing,Finance,Tata Steel,Sales,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
54,Vivek Sekhon,Male,12/15/1997,25,6.8,Government Engineering College,Vellore Institute Of Technology,B.Tech,Computer Science Engineering,76.9,2021,St. Francis Inter College,Kerala Higher Secondary Education,Science (Non-Medical),62.4,2017,St. Mark Senior Secondary Public School,Kerala State Board of Public Examination,74.1,2015,Yes,0 months,Yes,29 months,Cognizant Technology Solutions Pvt. Ltd.,6 months,Automobile,Cognitive and AI Automation,Co founder and head of operations,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Marathi , Marwadi",Digital Marketing Specialist,International Business,Marketing,Bluwheelz,Research Analyst,"1. Process Improvement
2. Business Requirements
3. System Analysis","1. SQL
2. Tableau
3. Advanced Excel","1. Business Acumen
2. Stakeholder Management
3. Analytical Thinking"
55,Ashwini Pandey,Female,10/17/2002,23,7.83,Mulund College Of Commerce,University Of Kota,B.Com. (Hons.),Commerce,73.68,2021,Mata Nand Kaur Senior Secondary School,CBSE,Commerce,80,2018,Lancer's Convent,CBSE,74.33,2016,No,0 months,No,16 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Operations Analyst,Finance,Human Resources,Jeena and Company,Corporate Accounts Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
56,Mukesh Nair,Male,11/15/1997,26,6.33,City College Of Commerce & Business Administration,Kiit University,B.Tech,Civil Engineering,77.9,2022,St Columbas School,CBSE,Science,62.4,2016,M.B.D.A.V.Sr.Sec. School,CBSE,82,2014,Yes,12 months,No,13 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Research Analyst,Big Data Analytics,Marketing,Pear Media LLC,marketing intern,"1. Market Research
2. Industry Analysis
3. Research Methodology","1. Statistical Tools
2. Research Software
3. Data Analysis","1. Research Methods
2. Critical Thinking
3. Academic Writing"
57,Kunal Sodhi,Male,6/23/2000,22,7.98,Manipal University,University Of Delhi,B.Com. (Hons.),Commerce,77.71,2021,St. Marks Girls' Senior Secondary School,CBSE,Commerce,88,2018,Devasya International Public School,CBSE,79,2016,Yes,3 months,No,20 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Analyst,Finance,Human Resources,Bandhan AMC Ltd.,Receivables Optimization Analyst.,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
58,Preeti Mann,Female,5/14/2001,21,6.68,Indraprastha College For Women,Guru Gobind Singh Indraprastha University,B.A.,History And Political Science,60,2023,Bhartiya Vidya Bhavans Vidya Mandir,CBSE,Humanities,94.4,2020,Delhi Public School,CBSE,93.5,2018,No,1 months,No,33 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Management Consultant,International Business,Marketing,Corizo Edutech,Finance and Accounts Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
59,Vijay Mehta,Male,8/18/1998,26,7.19,Amity University,Guru Gobind Singh Indraprastha University,B.Sc. (Hons.),Zoology,61.56,2021,Rajkiya Pratibha Vikas Vidyalaya,Assam Higher Secondary Education Council,Science (Medical),81.6,2016,M.B.D.A.V.Sr.Sec. School,Jammu and Kashmir State Board of School Education (JKBOSE),87.4,2014,Yes,9 months,No,16 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Malayalam, Tamil",Management Consultant,Marketing,Big Data Analytics,Urban Air Labs,Consultant,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
60,Shruti Goswami,Female,7/31/2001,25,6.35,Banasthali Vidhyapeeth,Banasthali University,B.Tech,Electronics And Communication Engineering,63.65,2021,Salwan Public School,CBSE,Science (Non-Medical),68.66,2017,Our Lady of Fatima,CBSE,76,2015,Yes,3 months,Yes,16 months,G.hotel,7 months,E-Commerce,Operations,Assistant Finance Manager,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,International Business,Marketing,Tommy Hilfiger,Business Development Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
