Roll_Number,fullName,Gender,BirthDate,age,MBA CGPA,garduation college,University,Degree,Specialization,percentage marks obtained during graduation,year when graduation was completed,name of the school attended for class 12,education board for class 12,academic stream chosen in class 12,percentage marks scored in class 12,year when class 12 was completed,name of the school attended for class 10,education board for class 10,percentage marks scored in class 10,year when class 10 was completed
426,Vikram Reddy,Male,4/27/2001,22,7.13,Ideal Institute Of Management And Technology,Bharati Vidyapeeth (Deemed To Be University),B.B.A.,Marketing,77.75,2021,Viswasai Junior College,Maharashtra State Board of Secondary and Higher Secondary Education,Commerce,66.8,2018,National Victor Public School,CBSE,65.5,2016
427,Vishal Chopra,Male,1/23/2001,22,6.44,Dyal Singh College,University Of Delhi,B.Com.,Commerce,77.81,2023,St Patricks Junior College,CBSE,Commerce,85.6,2020,St. Gregorios Senior Secondary School,CBSE,87.4,2018
428,Aman Patel,Male,4/27/2001,23,7.19,Sri Sri University,Amity University,B.Com.,Mechanical Engineering,83.58,2022,Smt R K D Fomra V Vidyalaya,Gujarat Secondary and Higher Secondary Education Board,Commerce,83.6,2018,Shrimanta Shankar Academy,Gujarat State Education Board,85.28,2016
429,Aman Kulkarni,Male,10/16/2001,26,6.64,Babu Banarasi Das University,University Of Delhi,B.Tech,Commerce,88.7,2021,Lucknow Public School,CBSE,Science (Non-Medical),70.6,2016,Vandana International School,CBSE,81.7,2014
430,Rajat Talwar,Male,5/31/2001,24,8,Shaheed Bhagat Singh College (Evening),University Of Delhi,B.Sc. (Hotel And Hospitality Administration),Computer Applications,64.05,2022,Lucknow Public Schools And Colleges,CBSE,Commerce,86,2018,Kendriya Vidyalaya (SAC),CBSE,77.9,2016
431,Geeta Nair,Female,8/20/2001,21,6.6,Institute Of Home Economics,University Of Delhi,B.Sc. (Hons.),General,78.57,2022,K.L. Arya Dav Public School,CBSE,Commerce,93.3,2019,Innocent Children Academy,CBSE,74.1,2017
432,Siddharth Naidu,Male,9/14/2000,23,6.44,Amity Institute Of Food Technology,Dr. A.P.J. Abdul Kalam Technical University,B.B.A.,General,78.83,2022,Modern Senior Secondary School,CBSE,Science (Non-Medical),78.16,2019,PRESIDENCY THE INTERNATIONAL SCHOOL,CBSE,95,2017
433,Ayesha Chhabra,Female,8/14/1998,25,7.51,Maharaja Surajmal Institute,Guru Gobind Singh Indraprastha University,B.B.A.,General,79.1,2020,Modern Vidya Niketan,CBSE,Science (Non-Medical),78,2017,Ursuline Convent Senior Secondary School,CBSE,95,2015
434,Rajendra Kulkarni,Male,12/14/1996,24,7.88,University Of Petroleum And Energy Studies,Chirst Deemed To Be University,B.B.A.,Finance,77.71,2022,Delhi Public School,CBSE,Commerce,89,2018,L.P. Savani International School,CBSE,79.8,2016
435,Aditi Bajwa,Female,10/28/1999,25,7.06,Pranveer Singh Institute Of Technology,Guru Gobind Singh Indraprastha University,B.Tech,Electronics And Communication Engineering,88.7,2020,Kendriya Vidyalaya Dlw,CBSE,Science (Medical),86.4,2016,L.S.D.B.R.A.S Vidya Mandir,CBSE,83.6,2014
436,Kajal Singh,Female,7/20/2002,23,6.7,Modi Institute Of Management,University Of Kota,B.Sc.,Electrical Engineering,74.01,2022,Sumit Bal Sr. Sec. School,ISC,Commerce,88.2,2019,The Gladiolus School,ICSE,95,2017
437,Jayant Kohli,Male,4/22/2001,24,7.36,Vellore Institute Of Technology,Rajasthan University,B.Com. (Hons.),General,58.72,2020,Uttarpara Amarendra Vidyapith,CBSE,Commerce,93,2017,Sumermal Jain Public School,CBSE,91.2,2015
438,Riya Mathur,Female,7/16/2000,24,7.34,Bhaskaracharya College Of Applied Sciences,University Of Delhi,B.Com. (Hons.),General,78.82,2021,Bharti Public School,CBSE,Commerce,89.83,2018,Meerut Public Girls School,CBSE,91.2,2016
439,Ravi Bhatnagar,Male,2/24/1999,26,6.38,Jaypee Institute Of Information Technology,University Of Delhi,B.Tech,Finance,88.7,2020,St. Mary'S Inter College,CBSE,Science (Non-Medical),62.2,2016,St.Margaret Senior Secondary School,CBSE,91.2,2014
440,Rakesh Mishra,Male,2/18/2000,22,7.83,Hansraj College,University Of Delhi,B.Com. (Hons.),Commerce,82.9,2023,O.P. Jindal Modern School,CBSE,Commerce,89.67,2020,Sachdeva Public School,CBSE,92.3,2018
441,Prakash Kalra,Male,3/25/2002,22,6.71,Shaheed Bhagat Singh College,Manipal University,B.Com. (Hons.),Accounting,73,2021,Darbari Lal D.A.V Model School,CBSE,Commerce,75.4,2018,Delhi Public School,CBSE,78.85,2016
442,Ankit Sandhu,Male,7/13/2001,23,7.23,Sri Aurobindo College,University Of Delhi,B.Com. (Hons.),Commerce,85.32,2022,Dyal Singh Public School,CBSE,Commerce,70.4,2019,Mahaveer Public School,CBSE,72.2,2017
443,Dhruv Aggarwal,Male,8/27/1995,29,6.53,Manipal Institute Of Technology,Guru Gobind Singh Indraprastha University,B.Com.,Electronics Engineering,88,2016,J K S Inter College Of Commerce,CBSE,Commerce,62.4,2012,Yadavindra Public School,CBSE,81.7,2010
444,Tanya Guha,Female,11/25/2001,24,7.34,Bhaskaracharya College Of Applied Sciences,University Of Delhi,B.Sc. (Hons.),Food Technology,78.82,2022,Indira Ideal Sr. Sec. School,CBSE,Science (Medical),85.8,2018,Indira Ideal Sr. Sec. School,CBSE,87.4,2016
445,Shraddha Grewal,Female,5/14/2001,21,8.18,"Government Commerce Girls College, Kota",Maharshi Dayanand University,B.Com.,General,83.3,2023,Kendriya Vidyalaya No.1,ISC,Commerce,94.75,2020,La Martiniere Girls' College,ICSE,95,2017
446,Sadia Suri,Female,2/27/2001,23,6.44,Dpg Institute Of Technology And Management,Itm University,B.B.A.,Marketing And Finance,72.81,2023,Betnoti College,Jharkhand Academic Council,Commerce,80,2020,Carmel Convent Senior Secondary School,CBSE,73,2018
447,Shailee Bose,Female,2/17/2001,25,7.17,Pranveer Singh Institute Of Technology,Dr. A.P.J. Abdul Kalam Technical University,B.Tech,Commerce,69.2,2020,Meerut Public Girls School,CBSE,Science (Non-Medical),83.33,2017,Bal Mandir Senior Secondary School,CBSE,82.83,2015
448,Saurabh Chahal,Male,4/18/2001,22,6.78,Commerce College,Savitribai Phule Pune University,B.B.A.,Marketing,68.81,2021,Shri Kanwartara Public Higher Secondary School,CBSE,Commerce,77,2018,Gurukul School Dhamnod,CBSE,79.8,2016
449,Parth Bhandari,Male,9/25/2002,24,6.8,Kalinga Institute Of Industrial Technology,Guru Gobind Singh Indraprastha University,B.Sc.,Computer Science Hons.,72.3,2020,Greenway Modern School,CBSE,Science (Non-Medical),78.06,2017,Lord Mahavira Academy,CBSE,89.66,2015
450,Naveen Chhabra,Male,10/18/2001,23,8.13,Institute Of Management Nirma University,Madras University,B.Sc.,Physics,81.11,2021,Rose Mary Matriculation Higher Secondary School,CBSE,Science (Non-Medical),63.85,2017,Shree Sanatan Dharm Education Centre Kaushalpuri,CBSE,85.8,2015
451,Rajat Kataria,Male,7/24/2002,24,6.58,University Commerce College,Calcutta University,B.Com. (Hons.),Accounting And Finance,86.5,2021,Vidya Bharati Chinmaya Vidyalaya,CBSE,Commerce,74,2018,Lotus Valley International School,CBSE,81.7,2016
452,Sonali Sidhu,Female,3/15/2002,26,6.67,Sri Guru Tegh Bahadur Khalsa College,Rajasthan University,B.Sc.,Biology,63.63,2020,Sumit Bal Sr. Sec. School,CBSE,Science (Medical),69,2016,DAV Public School,CBSE,80.66,2014
453,Bhavesh Rana,Male,9/20/1998,22,6.52,Brihan Maharashtra College Of Commerce,Rajiv Gandhi Proudyogiki Vishwavidyalaya,B.B.A.,General,69.83,2022,Viswasai Junior College,CBSE,Science (Non-Medical),78.6,2018,Sheth Vidya Mandir English High School,CBSE,81.7,2016
454,Rishi Bose,Male,3/18/1997,24,7.27,Sri Guru Nanak Dev Khalsa College,University Of Delhi,B.Com. (Hons.),General,65.73,2020,Delhi Public School,CBSE,Commerce,94.6,2017,Delhi Public School,CBSE,91.2,2015
455,Harini Verma,Female,7/29/2002,22,7.87,Maharani Shri Jaya Government College (M.S.J),Guru Jambheshwar University Of Science And Technology,B.Tech,Commerce,65.94,2022,Delhi Public School,Maharashtra State Board of Secondary and Higher Secondary Education,Civil Engineering (Diploma),83.2,2019,Air Force Bal Bharati School,ICSE,82.83,2016
456,Omkar Dhar,Male,7/24/2000,21,6.23,Bhaskaracharya College Of Applied Sciences,University Of Delhi,B.B.A.,General,77.81,2022,St.Francis School,CBSE,Commerce,78.6,2019,Vivekananda Kendra vidyalaya,CBSE,66.5,2017
457,Vikram Sidhu,Male,9/30/2000,23,6.82,Kalinga Institute Of Industrial Technology,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),Commerce,92.3,2022,Ryan International School,CBSE,Commerce,80.8,2019,Summer Fields School,CBSE,77.9,2017
458,Ashok Thakur,Male,8/18/2000,22,7.94,Amity University,Amity University,B.B.A.,Marketing,94.6,2022,Holy Cross Senior Secondary School,CBSE,Commerce,85.4,2019,International Indian School,CBSE,85.5,2017
459,Samarth Singh,Male,11/13/2000,21,6.78,Brihan Maharashtra College Of Commerce,Savitribai Phule Pune University,B.B.A.,General,69.83,2023,Ryan International School,CBSE,Commerce,64,2019,St. Mary's Christian School,Board of High School and Intermediate Education U.P.,77.9,2017
460,Raj Sandhu,Male,2/15/1993,22,6.98,Guru Nanak Dev Engineering College,I.K. Gujral Punjab Technical University,B.Tech,General,77.57,2022,Kendriya Vidyalaya,CBSE,Science (Non-Medical),71.4,2019,Bal Bharati Public School,CBSE,94.66,2017
461,Mahesh Aggarwal,Male,7/29/1993,21,7.73,Srm University,University Of Delhi,BMS,Law,95.03,2022,Shree Sanatan Dharm Education Centre,CBSE,Humanities with Mathematics,92.6,2019,"Delhi public school, Sushant lok",CBSE,95,2017
462,Sonali Garg,Female,4/22/2000,22,7.83,Lakshmibai College,University Of Delhi,B.Com. (Hons.),General,82.27,2023,Mata Nand Kaur Senior Secondary School,CBSE,Commerce,91.2,2020,Lancer Convent School,CBSE,92.3,2018
463,Ananya Bhullar,Female,7/14/2002,24,7.4,Jorhat Institute Of Science And Technology,Assam Science And Technology University,B.Tech,Commerce,83.4,2022,South Point School,CBSE,Science (Medical),86.4,2018,St. Mary's Convent School,CBSE,95,2016
464,Shreya Patel,Female,8/23/2000,24,5.06,Kirorimal College,Indira Gandhi National Open University,B.Sc.,General,68,2021,Jagannath International School,ISC,Science (Non-Medical),77.4,2018,The Chintels School,ICSE,83.6,2016
465,Sandeep Saxena,Male,7/23/2000,21,8.6,Maharaja Surajmal Institute,University Of Delhi,B.Com. (Hons.),General,88.1,2023,Lovely Public Senior Secondary School,CBSE,Commerce,89.33,2020,Lovely Public Senior Secondary School,CBSE,92.3,2018
466,Anil Pillai,Male,11/18/2000,25,7.6,Maharaja Surajmal Institute of Technology,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),Commerce,75.6,2022,Cambridge School,CBSE,Commerce,77,2017,Carmel School,CBSE,82.83,2015
467,Rudra Sodhi,Male,3/15/2002,24,6.42,University College Of Commerce And Management Studies,Mohan Lal Shukhadia University,B.Com.,Commerce,54.19,2021,Delhi Public School,CBSE,Commerce,68.8,2018,Vidya Bharati Chinmaya Vidyalaya,CBSE,81.7,2016
468,Nitin Bajwa,Male,9/14/2000,25,7.88,University Of Petroleum And Energy Studies,University Of Delhi,B.Tech,General,90.7,2021,Universal Public School,CBSE,Science (Non-Medical),60,2017,Saraswati Vidya Mandir Senior secondary school,CBSE,77.9,2015
469,Keshav Rana,Male,3/25/2002,22,8.28,Maharaja Agrasen College,Symbiosis International University,B.B.A.,Human Resource Management,88.1,2023,Bhartiya Vidya Bhavan Vidyashram,CBSE,Commerce,82.8,2018,Bhartiya Vidya Bhavans Vidya Mandir,CBSE,87.4,2016
470,Aryan Mehta,Male,5/26/1999,25,7.22,City College Of Commerce & Business Administration,Calcutta University,B.Com. (Hons.),Accountancy,80.6,2020,Uttarpara Amarendra Vidyapith,CBSE,Commerce,85.6,2017,East West Model School,ICSE,70.3,2015
471,Lakshay Mahajan,Male,3/31/2002,24,7.19,Symbiosis Centre For Management Studies,Symbiosis International (Deemed University),B.B.A.,Marketing & Accounting and Finance,71.5,2022,"Jawahar Vidya Mandir, Shyamali",CBSE,Commerce,78.2,2018,"Jawahar Vidya Mandir, Shyamali",CBSE,89.3,2016
472,Vishal Rana,Male,7/29/1993,22,7.57,Keshav Mahavidyalaya,University Of Delhi,B.Com. (Hons.),General,77.9,2023,Delhi Public School,CBSE,Commerce,83,2020,"Salwan Public School, Rajinder Nagar",CBSE,72.2,2018
473,Ira Guha,Female,8/20/2002,22,6.63,Virendra Swarup Institute Of Computer Studies,Chhatrapati Shahu Ji Maharaj University,B.Com.,General,71.5,2023,Ghss Mankada,CBSE,Commerce,78.8,2020,Carmel School,CBSE,85.5,2018
474,Harish Yadav,Male,12/30/2000,25,6.83,Manipal University,Guru Nanak Dev University,B.B.A.,Marketing & Accounting and Finance,70,2021,"Jawahar Vidya Mandir, Shyamali",CBSE,Science (Non-Medical),78.06,2017,Lucknow Public Schools and Colleges,CBSE,91.2,2015
475,Zoya Singh,Female,9/14/1999,23,6.81,Budge Budge Institute Of Technology,Jiwaji University,B.C.A.,Biology,77.62,2022,Maya Devi Higher Secondary School,CBSE,Science (Medical),87.6,2019,Kendriya Vidhyalaya No 1,CBSE,81.7,2017
476,Anushka Bhatnagar,Female,7/27/2002,23,7.47,Vivekananda College,University Of Delhi,B.Sc. (Hons.),Statistics,89.2,2022,"Jaspal Kaur Public School, Shalimar Bagh",CBSE,Commerce,91.8,2019,"Jawahar Vidya Mandir, Shyamali",CBSE,95,2017
477,Anjali Bains,Female,3/28/1996,22,7.51,Goswami Ganesh Dutta Sanatan Dharma College,Graphic Era University,B.Com. (Hons.),Human Resource Management,86.5,2021,Cambridge School,CBSE,Commerce,72.67,2018,"St. Anselm's School, Mansarover",CBSE,95,2016
478,Sneha Bose,Female,8/14/2002,23,6.81,Budge Budge Institute Of Technology,Chaudhary Charan Singh University,B.A. (Hons.),Economics,74.01,2022,Titiksha Public School,ISC,Science (Non-Medical),92.4,2019,R K C Vidya Vihar,ICSE,74.33,2017
479,Sachin Mathur,Male,7/24/2000,24,7.62,Vivekananda Institute Of Professional Studies,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),General,84.6,2022,Darshan Academy,Kerala Higher Secondary Education,Commerce,86.4,2019,Devasya International Public School,Kerala State Board of Public Examination,85.5,2017
480,Rekha Iyer,Female,2/20/2002,26,7.17,Banasthali Vidhyapeeth,University Of Delhi,B.Sc.,Biology,61.56,2020,South Point High School,CBSE,Science (Medical),87,2016,Modern Delhi Public School,CBSE,90.25,2014
481,Kartik Bhatnagar,Male,3/31/2001,23,7.79,Maharaja Surajmal Institute,University Of Delhi,B.Com. (Hons.),Commerce,81.13,2022,O.P. Jindal Modern School,CBSE,Commerce,87.5,2019,Sachdeva Public School,CBSE,81.7,2017
482,Dinesh Yadav,Male,11/17/2001,24,7.73,Srm University,Maulana Abul Kalam Azad University Of Technology,B.Tech,Computer Science Engineering,86.5,2023,Bal Bharati Public School,CBSE,Science (Non-Medical),85.8,2019,St. Joseph's Convent School,CBSE,95,2017
483,Pradeep Tripathi,Male,1/20/2002,25,7.3,Sri Guru Nanak Dev Khalsa College,Dr. A.P.J. Abdul Kalam Technical University,B.Tech,General,75.5,2021,Salwan Public School,CBSE,Science (Medical),78.67,2017,Alwar Public School,CBSE,76,2015
484,Ira Kapoor,Female,3/13/2000,21,7.17,Maharaja Agrasen College,University Of Delhi,B.Com. (Hons.),General,81.1,2023,Montfort Senior Secondary School,CBSE,Commerce,95.2,2020,Montfort Senior Secondary School,CBSE,93.5,2018
485,Anurag Gill,Male,6/23/2000,22,6.52,Commerce College,Gujarat University,B.Sc.,Physics,82.8,2022,Chandra Shekhar Memorial Public Inter College,CBSE,Science (Non-Medical),80.4,2018,Bhavan Vidyalaya,CBSE,95,2016
486,Garima Sandhu,Female,11/21/1999,24,8.24,Amity Law School,Guru Gobind Singh Indraprastha University,B.A. (Hons.),English,79.46,2022,Prudence School,CBSE,Science (Medical),92,2017,Amrit Jyoti High School,CBSE,93.1,2015
487,Aakash Kalra,Male,5/26/1999,27,7.35,Institute Of Hotel Management,University Of Delhi,B.B.A.,General,59.31,2019,Ryan International School,CBSE,Commerce,92,2015,Ryan International School,CBSE,91.2,2013
488,Manish Oberoi,Male,2/24/1999,26,6.38,Singhania University,Chirst Deemed To Be University,B.Tech,General,79.1,2021,Lucknow Public School,CBSE,Science (Non-Medical),70.6,2016,Vandana International School,CBSE,82,2014
489,Bhavya Bedi,Female,8/14/1998,27,7.17,Jesus And Mary College,University Of Delhi,B.Tech,General,67.5,2018,Meerut Public Girls School,CBSE,Science (Non-Medical),84.6,2015,Kendriya Vidyalaya DLW,CBSE,87.4,2013
490,Varsha Menon,Female,12/28/2000,23,6.97,Kalinga University,Iis University,B.A. (Hons.),Economics,74.01,2022,Titiksha Public School,CBSE,Commerce,92.4,2019,Titiksha Public School,ICSE,93,2017
491,Ashok Kalra,Male,12/31/1998,22,6.5,Dyal Singh College,University Of Delhi,B.Com.,Commerce,78.9,2023,St Patricks Junior College,CBSE,Commerce,89,2020,Devasya International Public School,CBSE,76.17,2018
492,Urmila Gill,Female,3/27/2002,23,7.71,Narsee Monjee Institute Of Management Studies,University Of Kota,B.B.A.,Accounting And Finance,79.4,2022,St. Gregorios Senior Secondary School,RBSE,Science (Non-Medical),60,2019,St. Mary's School,CBSE,76,2017
493,Rekha Reddy,Female,9/20/1998,22,7.1,Ims Unison University,Kerala University,B.B.A.,General,66,2022,Pathania Public School,CBSE,Commerce,76.8,2019,Pathania Public School,CBSE,85.5,2017
494,Chetan Yadav,Male,2/26/2000,29,6.16,Altius Institute Of Universal Studies,Mumbai University,B.Tech,Mechanical Engineering,68.38,2016,Raisina Bengali School,CBSE,Science (Non-Medical),87,2010,Aadharshila Vidyapeeth,ICSE,87.4,2008
495,Alisha Deshpande,Female,8/25/1998,23,7.21,Kirorimal College,Iis University,B.A. (Hons.),Economics,66.75,2021,Chickar International School,CBSE,Science (Non-Medical),89.6,2018,St. Francis inter college,CBSE,91.2,2016
496,Anil Verma,Male,5/14/2001,22,6.83,Shaheed Bhagat Singh College,Guru Nanak Dev University,B.B.A.,Human Resource Management,77.75,2022,R.R.K. Senior Secondary School,CBSE,Commerce,71.4,2018,National Victor Public School,CBSE,72.52,2016
497,Alisha Krishna,Female,6/30/1998,23,7.32,Mata Sundri College For Women,University Of Delhi,B.A. (Hons.),Economics,72.89,2021,Chickar International School,CBSE,Commerce,91.8,2018,Carmel Girl's Higher Secondary School,CBSE,91.2,2016
498,Diya Chopra,Female,8/26/1994,29,8,Gian Sagar Dental College And Hospital,Baba Farid University Of Health Sciences,B.D.S.,Textile Design,64.13,2015,Delhi Public School,CBSE,Arts/ Humanities,72.2,2012,Ryan International School,CBSE,87.2,2010
499,Surbhi Patel,Female,4/29/2000,21,8.09,Ramanujan College,University Of Delhi,B.Com. (Hons.),Commerce,77.23,2023,Darbari Lal D.A.V Model School,CBSE,Commerce,93.8,2020,Lovely Public Senior Secondary School,CBSE,93.5,2018
500,Nidhi Yadav,Female,7/27/2002,22,8.01,Gargi College,University Of Delhi,B.A. (Hons.),English,89.7,2023,Silver Line Prestige School,CBSE,Commerce,95.33,2020,St. Marks Girls' Senior Secondary School,CBSE,94.6,2018
